date,investment,cy_invested,reserve_amt,current,today_pnl_amount,today_pnl_percentage,curr_pnl_amount,curr_pnl_percentage,cy_pnl_amount,cy_pnl_percentage,total_profit,total_loss,overall_pnl_amount,overall_pnl_percentage,total_booked_amt,total_booked_percentage,cy_booked_amt,cy_booked_percentage,py_booked_amt,py_booked_percentage,estimate_st,est_st_pnl_amount,est_st_pnl_percentage,estimate_lt,est_lt_pnl_amount,est_lt_pnl_percentage,cagr
28-11-2025,12562407,15260407,400,14312056.0,-30373.0,-0.21,-2267097.0,-14.86,-878097.0,-5.75,165871.0,-2432968.0,1819903.0,14.49,4087000,32.53,1389000,9.71,2698000,21.48,23120237.0,8808181.0,61.54,28135140.0,13823084.0,96.58,7.39
01-12-2025,12562407,15260407,400,14277214.0,-34842.0,-0.24,-2301939.0,-15.08,-912939.0,-5.98,161939.0,-2463878.0,1785061.0,14.21,4087000,32.53,1389000,9.73,2698000,21.48,23120236.0,8843022.0,61.94,28135139.0,13857925.0,97.06,7.21
02-12-2025,12562407,15260407,400,14239590.0,-37624.0,-0.26,-2339563.0,-15.33,-950563.0,-6.23,155771.0,-2495335.0,1747437.0,13.91,4087000,32.53,1389000,9.75,2698000,21.48,23120237.0,8880647.0,62.37,28135140.0,13895550.0,97.58,7.05
03-12-2025,12782407,15480407,495000,14376878.0,-79932.0,-0.55,-2450724.0,-15.83,-1021724.0,-6.6,119212.0,-2569936.0,1676276.0,13.11,4127000,32.29,1429000,9.94,2698000,21.11,23290753.0,8913875.0,62.0,28305655.0,13928777.0,96.88,6.71
04-12-2025,12782407,15480407,495000,14393620.0,16742.0,0.12,-2410402.0,-15.57,-981402.0,-6.34,135741.0,-2546142.0,1716598.0,13.43,4127000,32.29,1429000,9.93,2698000,21.11,23290752.0,8897132.0,61.81,28305654.0,13912034.0,96.65,6.76
05-12-2025,12782407,15480407,66757,14192819.0,-60027.0,-0.42,-2512405.0,-16.23,-1083405.0,-7.0,148947.0,-2661352.0,1614595.0,12.63,4127000,32.29,1429000,10.07,2698000,21.11,23233270.0,9040451.0,63.7,29661239.0,15468420.0,108.99,5.94
08-12-2025,12782407,15480407,66757,13944461.0,-248358.0,-1.75,-2760763.0,-17.83,-1331763.0,-8.6,124634.0,-2885396.0,1366237.0,10.69,4127000,32.29,1429000,10.25,2698000,21.11,23168731.0,9224270.0,66.15,28219603.0,14275142.0,102.37,4.9
09-12-2025,12782407,15480407,66757,13971402.0,26941.0,0.19,-2733822.0,-17.66,-1304822.0,-8.43,113762.0,-2847582.0,1393178.0,10.9,4127000,32.29,1429000,10.23,2698000,21.11,23168731.0,9197329.0,65.83,28219603.0,14248201.0,101.98,5.0
10-12-2025,12782407,15480407,66757,13944655.0,-26747.0,-0.19,-2760569.0,-17.83,-1331569.0,-8.6,119760.0,-2880329.0,1366431.0,10.69,4127000,32.29,1429000,10.25,2698000,21.11,23168731.0,9224076.0,66.15,28219603.0,14274948.0,102.37,4.88
11-12-2025,12782407,15480407,66757,14018414.0,73759.0,0.53,-2686810.0,-17.36,-1257810.0,-8.13,128330.0,-2815140.0,1440190.0,11.27,4127000,32.29,1429000,10.19,2698000,21.11,23168731.0,9150317.0,65.27,28219603.0,14201189.0,101.3,5.18
12-12-2025,12782407,15480407,66757,14058511.0,40097.0,0.29,-2646713.0,-17.1,-1217713.0,-7.87,142080.0,-2788791.0,1480287.0,11.58,4127000,32.29,1429000,10.16,2698000,21.11,23168731.0,9110220.0,64.8,28219603.0,14161092.0,100.73,5.33
15-12-2025,12782407,15480407,66757,14108006.0,49495.0,0.35,-2597218.0,-16.78,-1168218.0,-7.55,148531.0,-2745749.0,1529782.0,11.97,4127000,32.29,1429000,10.13,2698000,21.11,23168731.0,9060725.0,64.22,28219603.0,14111597.0,100.03,5.51
16-12-2025,12782407,15480407,66757,14029750.0,-78256.0,-0.55,-2675474.0,-17.28,-1246474.0,-8.05,137517.0,-2812994.0,1451526.0,11.36,4127000,32.29,1429000,10.19,2698000,21.11,23168730.0,9138980.0,65.14,28219602.0,14189852.0,101.14,5.18
18-12-2025,12782407,15480407,66757,13924500.0,-4524.0,-0.03,-2780724.0,-17.96,-1351724.0,-8.73,138430.0,-2919154.0,1346276.0,10.53,4127000,32.29,1429000,10.26,2698000,21.11,23168731.0,9244231.0,66.39,28219603.0,14295103.0,102.66,4.74
19-12-2025,12782407,15480407,66757,14025695.0,101195.0,0.73,-2679529.0,-17.31,-1250529.0,-8.08,139695.0,-2819223.0,1447471.0,11.32,4127000,32.29,1429000,10.19,2698000,21.11,23168732.0,9143037.0,65.19,28219604.0,14193909.0,101.2,5.14
22-12-2025,12782407,15480407,66757,14133915.0,108220.0,0.77,-2571309.0,-16.61,-1142309.0,-7.38,168133.0,-2739444.0,1555691.0,12.17,4127000,32.29,1429000,10.11,2698000,21.11,23168731.0,9034816.0,63.92,28219603.0,14085688.0,99.66,5.55
23-12-2025,12782407,15480407,66757,14178145.0,44230.0,0.31,-2527079.0,-16.32,-1098079.0,-7.09,165575.0,-2692655.0,1599921.0,12.52,4127000,32.29,1429000,10.08,2698000,21.11,23168731.0,8990586.0,63.41,28219603.0,14041458.0,99.04,5.72
24-12-2025,12782407,15480407,66757,14168612.0,-10216.0,-0.07,-2536612.0,-16.39,-1107612.0,-7.15,162750.0,-2699359.0,1590388.0,12.44,4127000,32.29,1429000,10.09,2698000,21.11,23168730.0,9000118.0,63.52,28219602.0,14050990.0,99.17,5.67
26-12-2025,12782407,15480407,66757,14118252.0,-50360.0,-0.36,-2586972.0,-16.71,-1157972.0,-7.48,156369.0,-2743343.0,1540028.0,12.05,4127000,32.29,1429000,10.12,2698000,21.11,23168731.0,9050479.0,64.1,28208565.0,14090313.0,99.8,5.46
29-12-2025,12782407,15480407,66757,14036164.0,-83298.0,-0.59,-2669060.0,-17.24,-1240060.0,-8.01,148030.0,-2817093.0,1457940.0,11.41,4127000,32.29,1429000,10.18,2698000,21.11,23168731.0,9132567.0,65.06,28208565.0,14172401.0,100.97,5.1
30-12-2025,12982407,15680407,1370,14180588.0,-60098.0,-0.42,-2724380.0,-17.37,-1295380.0,-8.26,135886.0,-2860271.0,1402620.0,10.8,4127000,31.79,1429000,10.08,2698000,20.78,23442683.0,9262095.0,65.32,28482517.0,14301929.0,100.86,4.88
31-12-2025,12982407,15680407,1680,14310286.0,126225.0,0.89,-2595651.0,-16.55,-1166651.0,-7.44,153023.0,-2748672.0,1531349.0,11.8,4127000,31.79,1429000,9.99,2698000,20.78,23417011.0,9106725.0,63.64,28456846.0,14146560.0,98.86,5.39
01-01-2026,12982407,15680407,1680,14351671.0,38614.0,0.27,-2556023.0,-16.3,-1127023.0,-7.19,161313.0,-2717340.0,1570977.0,12.1,4127000,31.79,1429000,9.96,2698000,20.78,23404454.0,9052783.0,63.08,28135901.0,13784230.0,96.05,5.54
02-01-2026,12982407,15680407,1680,14435722.0,84051.0,0.59,-2471972.0,-15.76,-1042972.0,-6.65,189110.0,-2661084.0,1655028.0,12.75,4127000,31.79,1429000,9.9,2698000,20.78,23404454.0,8968732.0,62.13,28135901.0,13700179.0,94.9,5.86
05-01-2026,12982407,15680407,1680,14413650.0,-22072.0,-0.15,-2494044.0,-15.91,-1065044.0,-6.79,190515.0,-2684560.0,1632956.0,12.58,4127000,31.79,1429000,9.91,2698000,20.78,23404452.0,8990802.0,62.38,28135900.0,13722250.0,95.2,5.75
06-01-2026,12982407,15680407,1680,14430907.0,17257.0,0.12,-2476787.0,-15.8,-1047787.0,-6.68,203535.0,-2680322.0,1650213.0,12.71,4127000,31.79,1429000,9.9,2698000,20.78,23404453.0,8973546.0,62.18,28135900.0,13704993.0,94.97,5.81
07-01-2026,12982407,15680407,1680,14477503.0,46596.0,0.32,-2430191.0,-15.5,-1001191.0,-6.38,234799.0,-2664989.0,1696809.0,13.07,4127000,31.79,1429000,9.87,2698000,20.78,23453354.0,8975851.0,62.0,28135901.0,13658398.0,94.34,5.98
08-01-2026,12982407,15680407,1680,14264597.0,-212906.0,-1.47,-2643097.0,-16.86,-1214097.0,-7.74,176501.0,-2819597.0,1483903.0,11.43,4127000,31.79,1429000,10.02,2698000,20.78,23453353.0,9188756.0,64.42,28135901.0,13871304.0,97.24,5.14
